Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,AG_BSA,AG_Budget_SubActivity_BSA_Title,Line_Number,SAG_BLI,SAG_Budget_Line_Item_BLI_Title,Include_In_TOA,FY_2025_Actuals,FY_2025_Reconciliation,FY_2025_Total,FY_2026_Discretionary_Enacted,FY_2026_PL_119_21_Spend_Plan,FY_2026_Total,FY_2027_Discretionary_Request,FY_2027_Mandatory_Request,FY_2027_Total,Classification
0100D,"Operation and Maintenance, Defense-Wide",DLA,04,Administration and service-wide activities,4G,Defensewide Activities,320,4GTB,Defense Logistics Agency,Y,402728,,402728,415073,5000,420073,585610,143000,728610,U
0100D,"Operation and Maintenance, Defense-Wide",DMACT,04,Administration and service-wide activities,4G,Defensewide Activities,330,ES18,Defense Media Activity,Y,240978,,240978,217901,,217901,207551,37115,244666,U
0100D,"Operation and Maintenance, Defense-Wide",DPAA,04,Administration and service-wide activities,4G,Defensewide Activities,340,4GTC,Defense POW/MIA Office,Y,184278,,184278,167068,,167068,160358,,160358,U
0100D,"Operation and Maintenance, Defense-Wide",DSCA,04,Administration and service-wide activities,4G,Defensewide Activities,350,4GTD,Defense Security Cooperation Agency,Y,10932000,,10932000,3653957,,3653957,3780757,1681,3782438,U
0100D,"Operation and Maintenance, Defense-Wide",DTSA,04,Administration and service-wide activities,4G,Defensewide Activities,360,4GTH,Defense Technology Security Administration,Y,43839,,43839,38284,,38284,47101,,47101,U
0100D,"Operation and Maintenance, Defense-Wide",DTRA,04,Administration and service-wide activities,4G,Defensewide Activities,370,4GTI,Defense Threat Reduction Agency,Y,839331,,839331,684373,,684373,637514,,637514,U
0100D,"Operation and Maintenance, Defense-Wide",DTRA,04,Administration and service-wide activities,4G,Defensewide Activities,390,4GTL,Defense Threat Reduction Agency - CYBER,Y,52745,,52745,68850,,68850,73477,,73477,U
0100D,"Operation and Maintenance, Defense-Wide",DODEA,04,Administration and service-wide activities,4G,Defensewide Activities,400,4GTJ,Department of Defense Education Activity,Y,3547352,,3547352,3604951,110000,3714951,3493232,1650716,5143948,U
0100D,"Operation and Maintenance, Defense-Wide",MDA,04,Administration and service-wide activities,4G,Defensewide Activities,410,011A,Missile Defense Agency,Y,671366,,671366,697729,,697729,487235,,487235,U
0100D,"Operation and Maintenance, Defense-Wide",OLDCC,04,Administration and service-wide activities,4G,Defensewide Activities,420,4GTM,Office of the Local Defense Community Cooperation,Y,468342,,468342,183140,100000,283140,142597,,142597,U
0100D,"Operation and Maintenance, Defense-Wide",TJS,04,Administration and service-wide activities,4J,Defensewide Activities,430,8PL3,Joint Chiefs of Staff - JIATF,Y,,,,,11500,11500,431652,,431652,U
0100D,"Operation and Maintenance, Defense-Wide",OSD,04,Administration and service-wide activities,4G,Defensewide Activities,470,4GTC,Office of the Secretary of Defense - CYBER,Y,104132,,104132,121299,,121299,81163,,81163,U
0100D,"Operation and Maintenance, Defense-Wide",OSD,04,Administration and service-wide activities,4G,Defensewide Activities,480,4GTN,Office of the Secretary of Defense,Y,2869829,,2869829,2128884,1016163,3145047,3832831,1067469,4900300,U
0100D,"Operation and Maintenance, Defense-Wide",DEFW,04,Administration and service-wide activities,1P,Defensewide Activities,490,REC1,Homeland Defense Initiatives,Y,,,,,72615,72615,,,,U
0100D,"Operation and Maintenance, Defense-Wide",DEFW,04,Administration and service-wide activities,4G,Defensewide Activities,500,TPDD,Taiwan Presidential Drawdown Replacement Fund,Y,,,,,850000,850000,,,,U
0100D,"Operation and Maintenance, Defense-Wide",WHS,04,Administration and service-wide activities,4G,Defensewide Activities,510,4GTQ,Washington Headquarters Services,Y,473827,,473827,410106,,410106,536546,513000,1049546,U
0100D,"Operation and Maintenance, Defense-Wide",,04,,,,999,9999,Classified Programs,Y,20802047,,20802047,22233592,8000,22241592,24579358,,24579358,U
0107D,Office of the Inspector General,IG,01,Operation and maintenance,4G,Defensewide Activities,010,4GTV,Office of the Inspector General,Y,530243,,530243,509865,10000,519865,501371,,501371,U
0107D,Office of the Inspector General,IG,01,Operation and maintenance,4G,Defensewide Activities,020,4GXX,Office of the Inspector General - CYBER,Y,1988,,1988,2030,,2030,2073,,2073,U
0107D,Office of the Inspector General,IG,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,030,4GTV,Office of the Inspector General,Y,1900,,1900,4625,,4625,1506,,1506,U
0107D,Office of the Inspector General,IG,03,Procurement,4G,Defensewide Activities,040,4GTV,Office of the Inspector General,Y,1336,,1336,1079,,1079,1393,,1393,U
0104D,United States Court of Appeals for the Armed Forces,CAAF,04,Administration and associated activities,4G,Defensewide Activities,010,4GTT,"Us Court of Appeals for the Armed Forces, Defense",Y,19202,,19202,21243,,21243,21698,,21698,U
0105D,"Drug Interdiction and Counter-Drug Activities, Defense",DEPS,01,Drug interdiction and counter drug activities,10,Defense Account,010,1FU1,Counter-Narcotics Support,Y,,,,678737,,678737,658191,,658191,U
0105D,"Drug Interdiction and Counter-Drug Activities, Defense",DEPSDDR,02,Drug demand reduction program,10,Defense Account,020,2FU1,Drug Demand Reduction Program,Y,,,,134938,,134938,135745,,135745,U
0105D,"Drug Interdiction and Counter-Drug Activities, Defense",DEPS,03,National Guard Counter-Drug Program,10,Defense Account,030,3FU1,National Guard Counter-Drug Program,Y,,,,305000,,305000,117418,,117418,U
0105D,"Drug Interdiction and Counter-Drug Activities, Defense",DEPS,04,National Guard Counter-Drug Schools,10,Defense Account,040,4FU1,National Guard Counter-Drug Schools,Y,,,,30000,,30000,6648,,6648,U
0838D,"Support for International Sporting Competitions , Defense",DEFW,01,Operations Support,45,Closed Account Adjustments,100,054,"Support of International Sporting Competitions, Defense",Y,147,,147,,,,,,,U
0130D,Combat and Operational Medicine Program,DHA,01,Operation and maintenance,14,Defense Health Program,010,1,In-House Care,Y,10294476,,10294476,10735135,700000,11435135,10863317,,10863317,U
0130D,Combat and Operational Medicine Program,DHA,01,Operation and maintenance,14,Defense Health Program,020,2,Private Sector Care,Y,20201022,,20201022,20773888,,20773888,,,,U
0130D,Combat and Operational Medicine Program,DHA,01,Operation and maintenance,14,Defense Health Program,030,3,Consolidated Health Support,Y,1771311,,1771311,2145778,,2145778,2375175,,2375175,U
0130D,Combat and Operational Medicine Program,DHA,01,Operation and maintenance,14,Defense Health Program,040,4,Information Management,Y,2452552,,2452552,2271798,100000,2371798,2600177,,2600177,U
0130D,Combat and Operational Medicine Program,DHA,01,Operation and maintenance,14,Defense Health Program,050,5,Management Activities,Y,340947,,340947,303898,,303898,304382,,304382,U
0130D,Combat and Operational Medicine Program,DHA,01,Operation and maintenance,14,Defense Health Program,060,6,Education and Training,Y,368326,,368326,385926,,385926,349460,,349460,U
0130D,Combat and Operational Medicine Program,DHA,01,Operation and maintenance,14,Defense Health Program,070,7,Base Operations/Communications,Y,2324437,,2324437,2331290,887000,3218290,2463042,3138924,5601966,U
0130D,Combat and Operational Medicine Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,080,0601,R&D Research,Y,41476,,41476,41660,,41660,41924,,41924,U
0130D,Combat and Operational Medicine Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,090,0602,R&D Exploratry Development,Y,188564,,188564,230398,,230398,185153,,185153,U
0130D,Combat and Operational Medicine Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,100,0603,R&D Advanced Development,Y,1031825,,1031825,1756072,,1756072,361241,,361241,U
0130D,Combat and Operational Medicine Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,110,0604,R&D Demonstration/Validation,Y,195518,,195518,208983,,208983,186018,,186018,U
0130D,Combat and Operational Medicine Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,120,0605,R&D Engineering Development,Y,130931,,130931,117190,,117190,124662,,124662,U
0130D,Combat and Operational Medicine Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,130,0606,R&D Management and Support,Y,88425,,88425,99338,,99338,100912,,100912,U
0130D,Combat and Operational Medicine Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,140,0607,R&D Capabilities Enhancement,Y,18697,,18697,19071,,19071,19452,,19452,U
0130D,Combat and Operational Medicine Program,DHA,03,Procurement,4G,Defensewide Activities,150,7720,PROC Initial Outfitting,Y,23449,,23449,24597,,24597,25555,,25555,U
0130D,Combat and Operational Medicine Program,DHA,03,Procurement,4G,Defensewide Activities,160,7721,PROC Replacement & Modernization,Y,243184,,243184,222445,,222445,231382,,231382,U
0130D,Combat and Operational Medicine Program,DHA,03,Procurement,4G,Defensewide Activities,170,7746,PROC Joint Operational Medicine Information System,Y,30129,,30129,30732,,30732,31203,,31203,U
0130D,Combat and Operational Medicine Program,DHA,03,Procurement,4G,Defensewide Activities,180,7759,PROC Military Health System - Desktop to Datacenter,Y,75536,,75536,77047,,77047,78588,,78588,U
0130D,Combat and Operational Medicine Program,DHA,03,Procurement,4G,Defensewide Activities,190,7787,PROC DoD Healthcare Management System Modernization,Y,26569,,26569,,,,,,,U
0810D,"Environmental Restoration, Defense",DEFW,04,Defense-wide,45,Closed Account Adjustments,080,045G,"Environmental Restoration, Defense",Y,,,,8885,,8885,8957,,8957,U
0146D,Private Sector Care Program,DHA,01,Operation and maintenance,14,Defense Health Program,010,2,Private Sector Care,Y,,,,,,,22175472,,22175472,U
0811D,"Environmental Restoration, Formerly Used Defense Sites",DEFW,05,DEFENSE-WIDE,45,Closed Account Adjustments,090,047G,Environmental Restoration Formerly Used Sites,Y,,,,235156,,235156,238927,,238927,U
0819D,"Overseas Humanitarian, Disaster, and Civic Aid",DSCA,01,Humanitarian assistance,4G,Defensewide Activities,010,4GTD,"Overseas Humanitarian, Disaster and Civic Aid",Y,115335,,115335,100793,,100793,78187,,78187,U
0134D,Cooperative Threat Reduction Account,DTRA,01,FSU Threat Reduction,1P,Defensewide Activities,010,1PL3,Cooperative Threat Reduction,Y,296076,,296076,282830,,282830,221332,,221332,U
0111D,Department of Defense Acquisition Workforce Development Fund,DAU,01,Acquisition workforce development,1Q,Acq Workforce Dev Fd,010,012,Acq Workforce Dev Fd,Y,55826,,55826,50846,,50846,37478,,37478,U
5188D,Disposal of Department of Defense Real Property,A,10,Concept Obligations,22,Disposal of DoD Real Property,130,120,Disposal of DoW Real Property,N,2634,,2634,6594,,6594,4034,,4034,U
5188D,Disposal of Department of Defense Real Property,N,10,Concept Obligations,22,Disposal of DoD Real Property,140,130,Disposal of DoW Real Property,N,-24,,-24,284,,284,,,,U
5188D,Disposal of Department of Defense Real Property,F,10,Concept Obligations,22,Disposal of DoD Real Property,150,110,Disposal of DoW Real Property,N,2436,,2436,24,,24,3765,,3765,U
5189D,Lease of Department of Defense Real Property,A,10,Concept Obligations,25,Lease of DoD Real Property,160,150,Lease of DoW Real Property,N,21339,,21339,17069,,17069,16454,,16454,U
5189D,Lease of Department of Defense Real Property,N,10,Concept Obligations,25,Lease of DoD Real Property,170,160,Lease of DoW Real Property,N,10769,,10769,6889,,6889,8304,,8304,U
5189D,Lease of Department of Defense Real Property,F,10,Concept Obligations,25,Lease of DoD Real Property,180,140,Lease of DoW Real Property,N,16161,,16161,9433,,9433,12462,,12462,U
