Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,BSA,Budget_SubActivity_BSA_Title,Budget_Line_Item,Program_Element_Budget_Line_Item_BLI_Title,Cost_Type,Cost_Type_Title,Add_Non_Add,FY_2025_Actuals_Quantity,FY_2025_Actuals_Amount,FY_2025_Reconciliation_Quantity,FY_2025_Reconciliation_Amount,FY_2025_Total_Quantity,FY_2025_Total_Amount,FY_2026_Discretionary_Enacted_Quantity,FY_2026_Discretionary_Enacted_Amount,FY_2026_PL_119_21_Spend_Plan_Quantity,FY_2026_PL_119_21_Spend_Plan_Amount,FY_2026_Total_Quantity,FY_2026_Total_Amount,FY_2027_Discretionary_Request_Quantity,FY_2027_Discretionary_Request_Amount,FY_2027_Mandatory_Quantity,FY_2027_Mandatory_Amount,FY_2027_Total_Quantity,FY_2027_Total_Amount,Classification
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Fuzes,356120,Fuzes,T,NATL Guard Equip (MEMO NON ADD),Add,,218,,,,218,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Fuzes,356120,Fuzes,R,Reserve Equip (MEMO NON ADD),Add,,64,,,,64,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Flares,356010,Expendable Countermeasures,T,NATL Guard Equip (MEMO NON ADD),Add,,1993,,,,1993,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Flares,356010,Expendable Countermeasures,R,Reserve Equip (MEMO NON ADD),Add,,386,,,,386,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Other Items,355990,"Items Less Than $5,000,000",R,Reserve Equip (MEMO NON ADD),Add,,107,,,,107,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Other Items,355450,Explosive Ordnance Disposal (EOD),T,NATL Guard Equip (MEMO NON ADD),Add,,283,,,,283,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Other Items,355450,Explosive Ordnance Disposal (EOD),R,Reserve Equip (MEMO NON ADD),Add,,62,,,,62,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Bombs,353620,Joint Direct Attack Munition,T,NATL Guard Equip (MEMO NON ADD),Add,,738,,,,738,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Bombs,353620,Joint Direct Attack Munition,R,Reserve Equip (MEMO NON ADD),Add,,45,,,,45,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Bombs,353020,General Purpose Bombs,T,NATL Guard Equip (MEMO NON ADD),Add,,3265,,,,3265,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Bombs,353020,General Purpose Bombs,R,Reserve Equip (MEMO NON ADD),Add,,609,,,,609,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Cartridges,352010,Cartridges,T,NATL Guard Equip (MEMO NON ADD),Add,,9066,,,,9066,,,,,,,,,,,,,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Cartridges,352010,Cartridges,R,Reserve Equip (MEMO NON ADD),Add,,4208,,,,4208,,,,,,,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Special Purpose Vehicles,823210,Joint Light Tactical Vehicle,R,Reserve Equip (MEMO NON ADD),Add,2,390,,,2,390,1,401,,,1,401,1,410,,,1,410,U
3080F,"Other Procurement, Air Force",F,03,Electronics and telecommunications equipment,,Electronics Programs,833010,Air Traffic Control & Landing Sys,R,Reserve Equip (MEMO NON ADD),Add,0,11742,,,0,11742,,12134,,,,12134,,12545,,,,12545,U
3080F,"Other Procurement, Air Force",F,03,Electronics and telecommunications equipment,,Modifications,838010,Comm Elect Mods,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,6515,,,,6515,,2845,,,,2845,U
3080F,"Other Procurement, Air Force",F,03,Electronics and telecommunications equipment,,Modifications,838010,Comm Elect Mods,T,NATL Guard Equip (MEMO NON ADD),Add,,3060,,,,3060,,4160,,,,4160,,5750,,,,5750,U
3080F,"Other Procurement, Air Force",F,04,Other base maintenance and support equipment,,Depot Plant+Mtrls Handling Eq,843050,Mechanized Material Handling Equip,T,NATL Guard Equip (MEMO NON ADD),Add,0,1625,,,0,1625,,2100,,,,2100,,1075,,,,1075,U
3080F,"Other Procurement, Air Force",F,04,Other base maintenance and support equipment,,Depot Plant+Mtrls Handling Eq,843050,Mechanized Material Handling Equip,R,Reserve Equip (MEMO NON ADD),Add,,375,,,,375,,,,,,,,,,,,,U
3080F,"Other Procurement, Air Force",F,04,Other base maintenance and support equipment,,Depot Plant+Mtrls Handling Eq,843040,POWER CONDITIONING EQUIPMENT,T,NATL Guard Equip (MEMO NON ADD),Add,,961,,,,961,,983,,,,983,,1019,,,,1019,U
3080F,"Other Procurement, Air Force",F,04,Other base maintenance and support equipment,,Depot Plant+Mtrls Handling Eq,843040,POWER CONDITIONING EQUIPMENT,R,Reserve Equip (MEMO NON ADD),Add,,124,,,,124,,126,,,,126,,129,,,,129,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Passenger Carrying Vehicles,821800,Passenger Carrying Vehicles,R,Reserve Equip (MEMO NON ADD),Add,2,62,,,2,62,3,82,,,3,82,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Passenger Carrying Vehicles,821800,Passenger Carrying Vehicles,T,NATL Guard Equip (MEMO NON ADD),Add,1,194,,,1,194,5,231,,,5,231,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Cargo and Utility Vehicles,822230,Medium Tactical Vehicle,R,Reserve Equip (MEMO NON ADD),Add,12,1144,,,12,1144,13,1211,,,13,1211,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Cargo and Utility Vehicles,822230,Medium Tactical Vehicle,T,NATL Guard Equip (MEMO NON ADD),Add,17,1976,,,17,1976,15,1961,,,15,1961,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Cargo and Utility Vehicles,822990,Cargo and Utility Vehicles,R,Reserve Equip (MEMO NON ADD),Add,56,2754,,,56,2754,56,2982,,,56,2982,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Cargo and Utility Vehicles,822990,Cargo and Utility Vehicles,T,NATL Guard Equip (MEMO NON ADD),Add,175,8337,,,175,8337,175,8305,,,175,8305,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Special Purpose Vehicles,823210,Joint Light Tactical Vehicle,T,NATL Guard Equip (MEMO NON ADD),Add,3,1021,,,3,1021,6,2345,,,6,2345,7,2662,,,7,2662,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Special Purpose Vehicles,823230,Security And Tactical Vehicles,T,NATL Guard Equip (MEMO NON ADD),Add,5,121,,,5,121,6,128,,,6,128,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Special Purpose Vehicles,823990,Special Purpose Vehicles,R,Reserve Equip (MEMO NON ADD),Add,7,1930,,,7,1930,8,1421,,,8,1421,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Special Purpose Vehicles,823990,Special Purpose Vehicles,T,NATL Guard Equip (MEMO NON ADD),Add,28,5011,,,28,5011,29,5551,,,29,5551,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Materials Handling Equipment,825990,Materials Handling Vehicles,R,Reserve Equip (MEMO NON ADD),Add,31,2715,,,31,2715,22,1786,,,22,1786,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Base Maintenance Support,826210,Runway Snow Remov And Cleaning Equ,R,Reserve Equip (MEMO NON ADD),Add,2,148,,,2,148,2,148,,,2,148,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Base Maintenance Support,826210,Runway Snow Remov And Cleaning Equ,T,NATL Guard Equip (MEMO NON ADD),Add,1,408,,,1,408,3,329,,,3,329,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Base Maintenance Support,826990,Base Maintenance Support Vehicles,R,Reserve Equip (MEMO NON ADD),Add,2,593,,,2,593,,,,,,,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Base Maintenance Support,826990,Base Maintenance Support Vehicles,T,NATL Guard Equip (MEMO NON ADD),Add,7,666,,,7,666,8,969,,,8,969,,,,,,,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Mission Support Vehicles,827000,Mission Support Vehicles,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,,,,,,101,8169,,,101,8169,U
3080F,"Other Procurement, Air Force",F,02,Vehicular equipment,,Mission Support Vehicles,827000,Mission Support Vehicles,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,,,,,,239,18068,,,239,18068,U
0350D,National Guard and Reserve Equipment,A,01,Reserve equipment,,Army Reserve,013005,Misc Equipment - Army Reserve,R,Reserve Equip (MEMO NON ADD),Add,,131750,,,,131750,,115000,,,,115000,,155000,,,,155000,U
0350D,National Guard and Reserve Equipment,N,01,Reserve equipment,,Marine Corps Reserve,015005,Misc Equipment - Marine Corps Reserve,R,Reserve Equip (MEMO NON ADD),Add,,19550,,,,19550,,22000,,,,22000,,23000,,,,23000,U
0350D,National Guard and Reserve Equipment,N,01,Reserve equipment,,Navy Reserve,014005,Misc Equipment - Navy Reserve,R,Reserve Equip (MEMO NON ADD),Add,,48450,,,,48450,,46000,,,,46000,,57000,,,,57000,U
0350D,National Guard and Reserve Equipment,F,02,National Guard equipment,,Air National Guard,022005,Misc Equipment - Air Force National Guard,T,NATL Guard Equip (MEMO NON ADD),Add,,255000,,,,255000,,235000,,,,235000,,305000,,,,305000,U
0350D,National Guard and Reserve Equipment,F,01,Reserve equipment,,Air Force Reserve,016005,Misc Equipment - AF Reserve,R,Reserve Equip (MEMO NON ADD),Add,,131750,,,,131750,,132000,,,,132000,,155000,,,,155000,U
0350D,National Guard and Reserve Equipment,A,02,National Guard equipment,,Army National Guard,021005,Misc Equipment - Army National Guard,T,NATL Guard Equip (MEMO NON ADD),Add,,263500,,,,263500,,250000,,,,250000,,305000,,,,305000,U
